2000,PSV,Kasper Bögelund  K. Bögelund,PSV O19,19,RV,-
2000,FC Twente,Ellery Cairo  E. Cairo,Feyenoord,21,RB,450 dzd. €
2000,FC Twente,Sjaak Polak  S. Polak,Excelsior,24,LV,225 dzd. €
2000,FC Twente,Fouzi El Brazi  F. El Brazi,Servette FC,23,CV,transfervrij
2000,FC Twente,Boudewijn Pahlplatz  B. Pahlplatz,Heerenveen,28,Aanval,?
2000,FC Twente,Jan Willem van Ede  J. van Ede,NAC Breda,37,K,?
2000,FC Twente,Peter Mentink  P. Mentink,Onbekend,22,Verdediging,?
2000,FC Twente,Jeffrey de Visscher  J. de Visscher,FC Twente O19,19,RB,-
2000,sc Heerenveen,Marcus Allbäck  M. Allbäck,Örgryte,27,CS,"1,10 mln. €"
2000,sc Heerenveen,Said Bakkati  S. Bakkati,GVAV Rapiditas,18,RV,transfervrij
2000,sc Heerenveen,René van der Weij  R. van der Weij,Cambuur O19,17,CS,transfervrij
2000,sc Heerenveen,Ian Claes  Ian Claes,St.Truiden U21,18,Aanval,?
2000,sc Heerenveen,Arjan Ebbinge  A. Ebbinge,SC Veendam,25,CV,?
2000,sc Heerenveen,Dragan Sladakovic  D. Sladakovic,Emmen,17,Middenveld,?
2000,sc Heerenveen,Rafael  Rafael,HJK Helsinki,21,CS,?
2000,sc Heerenveen,Santi Kolk  S. Kolk,ADO Den Haag,18,RB,?
2000,sc Heerenveen,Ignacio Tuhuteru  I. Tuhuteru,FC Zwolle,26,LB,?
2000,sc Heerenveen,Angelo Cijntje  A. Cijntje,Jong H'veen/Emme,19,RV,-
2000,RKC Waalwijk,Joey Gudjónsson  J. Gudjónsson,KRC Genk,20,CM,375 dzd. €
2000,RKC Waalwijk,Iwan Redan  I. Redan,Jong Vitesse,19,CS,transfervrij
2000,RKC Waalwijk,Fabian Peppinck  F. Peppinck,OJC Rosmalen,22,RV,transfervrij
2000,RKC Waalwijk,John van Loenhout  J. van Loenhout,RBC Roosendaal,23,AM,?
2000,RKC Waalwijk,Zeljko Petrovic  Z. Petrovic,Urawa Reds,34,RV,?
2000,RKC Waalwijk,Ivar van Dinteren  I. van Dinteren,FC Groningen,21,AM,?
2000,RKC Waalwijk,Arjan Human  A. Human,VV Kloetinge,21,Aanval,?
2000,RKC Waalwijk,Jeroen Verhoeven  J. Verhoeven,Jong RKC,20,K,-
2000,Feyenoord,Johan Elmander  J. Elmander,Örgryte,19,CS,"2,90 mln. €"
2000,Feyenoord,Brett Emerton  B. Emerton,Sydney Olympic,21,RM,"1,80 mln. €"
2000,Feyenoord,Arco Jochemsen  A. Jochemsen,Vitesse,29,RM,transfervrij
2000,Feyenoord,Zbigniew Malkowski  Z. Malkowski,Stomil,22,K,transfervrij
2000,Feyenoord,Stephen Laybutt  S. Laybutt,Brisbane Strikers FC,22,LV,?
2000,Feyenoord,Cor Varkevisser  C. Varkevisser,Feyenoord O19,18,K,-
2000,Feyenoord,Leonardo  Leonardo,Feyenoord O19,17,SAS,-
2000,FC Groningen,Mo Allach  Mo Allach,Feyenoord,26,RV,450 dzd. €
2000,FC Groningen,Wouter van den Herik  W. van den Herik,Telstar,20,LB,transfervrij
2000,FC Groningen,Faysal El Idrissi  F. El Idrissi,Santa Clara,23,AM,transfervrij
2000,FC Groningen,Erwin van de Looi  E. van de Looi,Stuttg. Kickers,28,CV,?
2000,FC Groningen,Dejan Curovic  D. Curovic,Vitesse,31,CS,?
2000,FC Groningen,Roel Janssen  R. Janssen,MVV,24,Verdediging,?
2000,FC Groningen,Peter Hoekstra  P. Hoekstra,Ajax,27,LB,?
2000,FC Groningen,Melchior Schoenmakers  M. Schoenmakers,FC Den Bosch,25,CV,?
2000,FC Groningen,Arjen Robben  A. Robben,Groningen O19,16,RB,-
2000,FC Utrecht,Stefaan Tanghe  S. Tanghe,Exc. Mouscron,28,AM,"1,00 mln. €"
2000,FC Utrecht,Igor Gluscevic  I. Gluscevic,Aris Saloniki,26,CS,transfervrij
2000,FC Utrecht,Dave van den Bergh  D. van den Bergh,Rayo Vallecano,24,LM,transfervrij
2000,FC Utrecht,Tibor Dombi  T. Dombi,E. Frankfurt,26,RM,transfervrij
2000,Roda JC,Giannis Anastasiou  G. Anastasiou,RSC Anderlecht,27,CS,"1,00 mln. €"
2000,Roda JC,Sven Vandenbroeck  S. Vandenbroeck,KV Mechelen,20,DM,750 dzd. €
2000,Roda JC,Ivan Vicelich  I. Vicelich,Football Kingz,24,DM,transfervrij
2000,Roda JC,Bas Roorda  B. Roorda,NEC,27,K,?
2000,Roda JC,Edrissa Sonko  E. Sonko,RSC Anderlecht,20,RB,?
2000,Roda JC,Samir Ouindi  S. Ouindi,Jong Roda JC,20,Aanval,-
2001,Fortuna Sittard,Fritz Emeran  F. Emeran,KRC Genk,25,RV,transfervrij
2001,Fortuna Sittard,Mischa Rook  M. Rook,Cambuur L.,28,LM,transfervrij
2001,Fortuna Sittard,Laszló Mészarós  L. Mészarós,Elazigspor,24,Middenveld,transfervrij
2001,Fortuna Sittard,René van Dieren  R. van Dieren,Feyenoord,20,DM,transfervrij
2001,Fortuna Sittard,Colin Cramb  C. Cramb,Crewe Alexandra,27,CS,?
2001,Fortuna Sittard,Tom Bastian  T. Bastian,Leicester U18,17,AM,?
2001,Fortuna Sittard,Samir El Gaaouiri  S. El Gaaouiri,VVV/Hel O19,17,LB,?
2001,Fortuna Sittard,Regillio Simons  R. Simons,NAC Breda,28,CS,?
2001,Fortuna Sittard,Davy Bertjens  D. Bertjens,Fortuna O19,19,K,-
2001,Fortuna Sittard,Tycho Steegs  T. Steegs,MVV Onder 19,19,Verdediging,nan
2001,AZ Alkmaar,Ali Elkhattabi  A. Elkhattabi,Sparta,24,CS,"1,60 mln. €"
2001,AZ Alkmaar,Ole Tobiasen  O. Tobiasen,Ajax,26,CV,transfervrij
2001,AZ Alkmaar,Theo Zwarthoed  T. Zwarthoed,FC Volendam,18,K,transfervrij
2001,AZ Alkmaar,Alair Cruz Vicente  A. Cruz Vicente,Desportiva-ES,20,LV,?
2001,AZ Alkmaar,Patrick Huisman  P. Huisman,Jong AZ,21,Verdediging,-
2001,AZ Alkmaar,Jeroen Ketting  J. Ketting,Jong AZ,20,CS,-
2001,De Graafschap,Arvid Smit  A. Smit,Stormv. Telstar,21,CM,transfervrij
2001,De Graafschap,Dennis Schulp  D. Schulp,NEC,23,CM,transfervrij
2001,De Graafschap,Michael van der Kruis  M. van der Kruis,Excelsior,21,CV,transfervrij
2001,De Graafschap,Mathieu Antolini  M. Antolini,Onbekend,21,Aanval,?
2001,De Graafschap,Hans van de Haar  H. van de Haar,SW Bregenz,26,CS,?
2001,De Graafschap,Peter van Vossen  P. van Vossen,Feyenoord,33,LB,?
2001,De Graafschap,Mark Besselink  M. Besselink,Graafschap O19,17,K,-
2001,De Graafschap,Jurgen Seedorf  J. Seedorf,Zonder club,20,AM,-
2001,De Graafschap,Tim Bakens  T. Bakens,Graafschap O19,18,CV,-
2001,AFC Ajax,Zlatan Ibrahimovic  Z. Ibrahimovic,Malmö FF,19,CS,"7,80 mln. €"
2001,AFC Ajax,Mido  Mido,KAA Gent,18,CS,"4,20 mln. €"
2001,AFC Ajax,Maxwell  Maxwell,Cruzeiro,19,LV,"3,50 mln. €"
2001,AFC Ajax,Jelle Van Damme  J. Van Damme,Germ. Beerschot,18,CV,transfervrij
2001,AFC Ajax,Hatem Trabelsi  H. Trabelsi,CS Sfaxien,24,RV,transfervrij
2001,AFC Ajax,Steven Pienaar  S. Pienaar,Ajax Cape Town,19,LB,transfervrij
2001,AFC Ajax,Ruud Kras  Ruud Kras,FC Volendam,19,CV,?
2001,AFC Ajax,Anthony Obodai  A. Obodai,Liberty Prof.,18,DM,?
2001,AFC Ajax,Maarten Stekelenburg  M. Stekelenburg,Ajax O19,18,K,-
2001,AFC Ajax,Johnny Heitinga  J. Heitinga,Ajax O19,17,CV,-
2001,AFC Ajax,Joey Didulica  J. Didulica,Jong Ajax,23,K,-
2001,Vitesse Arnhem,Jimmy van Fessem  J. van Fessem,Willem II,25,K,transfervrij
2001,Vitesse Arnhem,Ricky Bochem  R. Bochem,Vit./AGOVV O19,18,RM,-
2001,Vitesse Arnhem,Nicky Hofs  N. Hofs,Vit./AGOVV O19,18,AM,-
2001,Vitesse Arnhem,Michael Dingsdag  M. Dingsdag,Vit./AGOVV O19,18,CV,-
2001,Sparta Rotterdam,Davy De fauw  D. De fauw,Club Brugge U19,19,RV,transfervrij
2001,Sparta Rotterdam,Kenneth Cicilia  K. Cicilia,Onbekend,19,Aanval,?
2001,Sparta Rotterdam,Tom Sier  Tom Sier,Ajax,31,LV,?
2001,Sparta Rotterdam,Regi Blinker  R. Blinker,RBC Roosendaal,32,LM,?
2001,Sparta Rotterdam,Elbekay Bouchiba  E. Bouchiba,AZ Alkmaar,22,AM,?
2001,Sparta Rotterdam,Brian Vandenbussche  B. Vandenbussche,Club Brugge,20,K,?
2001,Sparta Rotterdam,Ben Kinds  Ben Kinds,Feyenoord O19,18,K,?
2001,Sparta Rotterdam,Victor Kros  V. Kros,Sparta O19,19,K,-
2001,Sparta Rotterdam,Jayson Trommel  J. Trommel,Sparta O19,18,LV,-
2001,Sparta Rotterdam,Lorenzo Rimkus  L. Rimkus,Sparta O19,16,LM,-
2001,NEC Nijmegen,Jaromir Simr  J. Simr,Jong Feyenoord,22,RB,"1,50 mln. €"
2001,NEC Nijmegen,Zico Tumba  Z. Tumba,De Graafschap,24,CS,400 dzd. €
2001,NEC Nijmegen,Charles Kazlauskas  C. Kazlauskas,Onbekend,18,RV,transfervrij
2001,NEC Nijmegen,Peter Wisgerhof  P. Wisgerhof,Vitesse,21,CV,transfervrij
2001,NEC Nijmegen,Marc Peters  M. Peters,TOP Oss,22,RM,transfervrij
